variable,alias,description
age,age,age in years
sex,male_binary,(1 = male; 0 = female)
cp,chest_pain_type,chest pain type
trestbps,rest_blood_pressure,resting blood pressure (in mm Hg on admission to the hospital)
chol,serum_cholestoral,serum cholestoral in mg/dl
fbs,fast_bg_above120_binary,(fasting blood sugar > 120 mg/dl) (1 = true; 0 = false)
restecg,rest_ecg_results,resting electrocardiographic results
thalach,max_heart_rate,maximum heart rate achieved
exang,execise_angina_binary,exercise induced angina (1 = yes; 0 = no)
oldpeak,exercise_st_depression,ST depression induced by exercise relative to rest
slope,exercise_st_slope,the slope of the peak exercise ST segment
ca,major_vessels_colored,number of major vessels (0-3) colored by flouroscopy
thal,thalassemia,3 = normal; 2 = fixed defect; 1 = reversable defect
target,heart_disease_binary,Flag if the patient has heart disease (1) or not (0)
